"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"Savannah, Georgia","Georgia","Savannah","Service Station",2,1939,"",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","School of Beauty Culture",1,1939,"",-81.0998342,32.0835407
"Schenectady, New York","New York","Schenectady","Tourist Home",4,1939,"",-73.9395687,42.8142432
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Restaurant",1,1938,"",-74.369018,40.6400404
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Road House",1,1938,"",-74.369018,40.6400404
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Country Club",1,1938,"",-74.369018,40.6400404
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Restaurant",1,1939,"",-74.369018,40.6400404
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Country Club",1,1939,"",-74.369018,40.6400404
"Scotch Plains, New Jersey","New Jersey","Scotch Plains","Road House",1,1939,"",-74.369018,40.6400404
"Scranton, Pennsylvania","Pennsylvania","Scranton","Tourist Home",3,1938,"",-75.6624122,41.408969
"Scranton, Pennsylvania","Pennsylvania","Scranton","Tourist Home",4,1939,"",-75.6624122,41.408969
"Sea Bright, New Jersey","New Jersey","Sea Bright","Restaurant",1,1939,"",-73.9740262,40.3614987
"Sea Bright, New Jersey","New Jersey","Sea Bright","Restaurant",1,1938,"",-73.9740262,40.3614987
"Seattle, Washington","Washington","Seattle","Hotel",1,1939,"",-122.3320708,47.6062095
"Sedalia, Missouri","Missouri","Sedalia","Tourist Home",4,1939,"",-93.2282613,38.7044609
"Sharon Hill, Pennsylvania","Pennsylvania","Sharon Hill","Tavern",1,1939,"",-75.2715732,39.9065017
"Shawnee, Oklahoma","Oklahoma","Shawnee","Tourist Home",1,1939,"",-96.9253004,35.3272928
"Shawnee, Oklahoma","Oklahoma","Shawnee","Hotel",1,1939,"",-96.9253004,35.3272928
"Sheffield, Alabama","Alabama","Sheffield","Tourist Home",1,1939,"",-87.6986407,34.7650887
"Sheffield, Alabama","Alabama","Sheffield","Hotel",1,1939,"",-87.6986407,34.7650887
"Sheffield, Alabama","Alabama","Sheffield","Tourist Home",1,1938,"",-87.6986407,34.7650887
"Sheffield, Alabama","Alabama","Sheffield","Hotel",1,1938,"",-87.6986407,34.7650887
"Shreveport , Louisiana","Louisiana","Shreveport ","Hotel",1,1938,"",-93.7501789,32.5251516
"Shreveport, Louisiana","Louisiana","Shreveport","Tourist Home",4,1939,"",-93.7501789,32.5251516
"Sioux Falls, South Dakota","South Dakota","Sioux Falls","Tourist Home",2,1939,"",-96.7311034,43.5445959
"South Bend, Indiana","Indiana","South Bend","Restaurant",1,1939,"",-86.2519898,41.6763545
"South Hill, Virginia","Virginia","South Hill","Tavern",1,1939,"Advertisement",-78.1288857,36.726532
"Spartanburg, South Carolina","South Carolina","Spartanburg","Tourist Home",6,1939,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Restaurant",1,1939,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Service Station",2,1939,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Tourist Home",4,1938,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Theater",2,1939,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Garage",1,1939,"",-81.9320482,34.9495672
"Spartanburg, South Carolina","South Carolina","Spartanburg","Beauty Parlor",1,1939,"",-81.9320482,34.9495672
"Springfield, Illinois","Illinois","Springfield","Hotel",1,1938,"",-89.6501481,39.7817213
"Springfield, Illinois","Illinois","Springfield","Tourist Home",9,1939,"",-89.6501481,39.7817213
"Springfield, Illinois","Illinois","Springfield","Hotel",1,1939,"",-89.6501481,39.7817213
"Springfield, Massachusetts","Massachusetts","Springfield","Tailor",1,1939,"",-72.589811,42.1014831
"Springfield, Massachusetts","Massachusetts","Springfield","Tourist Home",2,1939,"",-72.589811,42.1014831
"Springfield, Missouri","Missouri","Springfield","Tourist Home",1,1939,"",-93.2922989,37.2089572
"Springfield, Ohio","Ohio","Springfield","Hotel",1,1938,"",-83.8088171,39.9242266
"Springfield, Ohio","Ohio","Springfield","Tourist Home",3,1939,"",-83.8088171,39.9242266
"Springfield, Ohio","Ohio","Springfield","Hotel",1,1939,"",-83.8088171,39.9242266
"St. Augustine, Florida","Florida","St. Augustine","Tourist Home",3,1939,"",-81.3124341,29.9012437
"St. Augustine, Florida","Florida","St. Augustine","Hotel",3,1938,"",-81.3124341,29.9012437
"St. Joseph, Missouri","Missouri","St. Joseph","Tourist Home",3,1939,"",-94.846681,39.7674578
"St. Louis, Missouri","Missouri","St. Louis","Restaurant",1,1939,"",-90.1994042,38.6270025
"St. Louis, Missouri","Missouri","St. Louis","Tavern",1,1939,"",-90.1994042,38.6270025
"St. Louis, Missouri","Missouri","St. Louis","Service Station",1,1939,"",-90.1994042,38.6270025
